Time,tp
2023-03-19 17:47:00,2.6
2023-03-19 17:48:00,1.467
2023-03-19 17:49:00,4.067
2023-03-19 17:50:00,11.333
2023-03-19 17:51:00,15.933
2023-03-19 17:52:00,18.8
2023-03-19 17:53:00,27.867
2023-03-19 17:54:00,41.267
2023-03-19 17:55:00,45.458
2023-03-19 17:56:00,53.6
2023-03-19 17:57:00,55.267
2023-03-19 17:58:00,68.867
2023-03-19 17:59:00,67.2
2023-03-19 18:00:00,56.859
2023-03-19 18:01:00,67.289
2023-03-19 18:02:00,70.2
2023-03-19 18:03:00,63.067
2023-03-19 18:04:00,64.8
2023-03-19 18:05:00,42.733
2023-03-19 18:06:00,45.467
2023-03-19 18:07:00,41.667
2023-03-19 18:08:00,32.067
2023-03-19 18:09:00,26.267
2023-03-19 18:10:00,21.2
2023-03-19 18:11:00,12.133
2023-03-19 18:12:00,9.4
2023-03-19 18:13:00,4.6
2023-03-19 18:14:00,1.867
2023-03-19 18:15:00,3.333
2023-03-19 18:16:00,2.067
2023-03-19 18:17:00,1.267
2023-03-19 18:18:00,1.733
2023-03-19 18:19:00,3.133
2023-03-19 18:20:00,8.0
2023-03-19 18:21:00,17.133
2023-03-19 18:22:00,29.067
2023-03-19 18:23:00,33.533
2023-03-19 18:24:00,36.867
2023-03-19 18:25:00,47.267
2023-03-19 18:26:00,53.6
2023-03-19 18:27:00,61.333
2023-03-19 18:28:00,61.533
2023-03-19 18:29:00,65.4
2023-03-19 18:30:00,68.733
2023-03-19 18:31:00,49.133
2023-03-19 18:32:00,70.733
2023-03-19 18:33:00,65.746
2023-03-19 18:34:00,47.867
2023-03-19 18:35:00,47.6
2023-03-19 18:36:00,47.667
2023-03-19 18:37:00,41.0
2023-03-19 18:38:00,33.467
2023-03-19 18:39:00,28.2
2023-03-19 18:40:00,18.6
2023-03-19 18:41:00,10.067
2023-03-19 18:42:00,5.733
2023-03-19 18:43:00,2.867
2023-03-19 18:44:00,1.6
2023-03-19 18:45:00,2.867
2023-03-19 18:46:00,1.667
2023-03-19 18:47:00,0.4
2023-03-19 18:48:00,3.333
2023-03-19 18:49:00,5.0
2023-03-19 18:50:00,10.533
2023-03-19 18:51:00,20.0
2023-03-19 18:52:00,22.067
2023-03-19 18:53:00,35.333
2023-03-19 18:54:00,37.133
2023-03-19 18:55:00,47.267
2023-03-19 18:56:00,38.867
2023-03-19 18:57:00,58.733
2023-03-19 18:58:00,67.067
2023-03-19 18:59:00,57.573
2023-03-19 19:00:00,66.476
2023-03-19 19:01:00,65.867
2023-03-19 19:02:00,65.0
2023-03-19 19:03:00,64.0
2023-03-19 19:04:00,57.667
2023-03-19 19:05:00,56.222
2023-03-19 19:06:00,49.0
2023-03-19 19:07:00,47.4
2023-03-19 19:08:00,36.0
2023-03-19 19:09:00,31.8
2023-03-19 19:10:00,21.267
2023-03-19 19:11:00,12.8
2023-03-19 19:12:00,6.8
2023-03-19 19:13:00,2.733
2023-03-19 19:14:00,1.4
2023-03-19 19:15:00,1.733
2023-03-19 19:16:00,1.733
