Time,tp
2023-03-19 17:47:00,5.867
2023-03-19 17:50:00,62.0
2023-03-19 17:53:00,149.4
2023-03-19 17:56:00,247.2
2023-03-19 17:59:00,304.533
2023-03-19 18:02:00,256.2
2023-03-19 18:05:00,221.4
2023-03-19 18:08:00,144.667
2023-03-19 18:11:00,56.467
2023-03-19 18:14:00,8.467
2023-03-19 18:17:00,4.8
2023-03-19 18:20:00,39.467
2023-03-19 18:23:00,150.467
2023-03-19 18:26:00,182.867
2023-03-19 18:29:00,278.4
2023-03-19 18:32:00,267.8
2023-03-19 18:35:00,219.883
2023-03-19 18:38:00,181.067
2023-03-19 18:41:00,44.933
2023-03-19 18:44:00,7.8
2023-03-19 18:47:00,3.2
2023-03-19 18:50:00,54.733
2023-03-19 18:53:00,162.067
2023-03-19 18:56:00,186.0
2023-03-19 18:59:00,287.733
2023-03-19 19:02:00,301.8
2023-03-19 19:05:00,273.6
2023-03-19 19:08:00,176.667
2023-03-19 19:11:00,61.467
2023-03-19 19:14:00,5.933
2023-03-19 19:17:00,2.533
2023-03-19 19:20:00,43.2
2023-03-19 19:23:00,150.133
2023-03-19 19:26:00,177.067
2023-03-19 19:29:00,289.566
2023-03-19 19:32:00,312.4
2023-03-19 19:35:00,250.8
2023-03-19 19:38:00,147.667
2023-03-19 19:41:00,60.467
2023-03-19 19:44:00,11.933
2023-03-19 19:47:00,4.133
2023-03-19 19:50:00,59.867
2023-03-19 19:53:00,154.0
2023-03-19 19:56:00,201.333
2023-03-19 19:59:00,299.067
2023-03-19 20:02:00,315.267
2023-03-19 20:05:00,254.0
2023-03-19 20:08:00,161.0
2023-03-19 20:11:00,77.6
2023-03-19 20:14:00,27.467
2023-03-19 20:17:00,3.467
2023-03-19 20:20:00,44.8
2023-03-19 20:23:00,156.467
2023-03-19 20:26:00,245.067
2023-03-19 20:29:00,310.267
2023-03-19 20:32:00,304.933
2023-03-19 20:35:00,266.4
2023-03-19 20:38:00,144.667
2023-03-19 20:41:00,68.867
2023-03-19 20:44:00,6.933
2023-03-19 20:47:00,4.8
2023-03-19 20:50:00,53.733
2023-03-19 20:53:00,129.4
2023-03-19 20:56:00,234.667
2023-03-19 20:59:00,315.2
2023-03-19 21:02:00,306.8
2023-03-19 21:05:00,247.333
2023-03-19 21:08:00,163.333
2023-03-19 21:11:00,66.533
2023-03-19 21:14:00,10.4
2023-03-19 21:17:00,8.8
2023-03-19 21:20:00,32.933
2023-03-19 21:23:00,145.8
2023-03-19 21:26:00,277.591
2023-03-19 21:29:00,293.4
2023-03-19 21:32:00,317.333
2023-03-19 21:35:00,271.867
2023-03-19 21:38:00,175.867
2023-03-19 21:41:00,58.067
2023-03-19 21:44:00,5.4
2023-03-19 21:47:00,3.467
2023-03-19 21:50:00,42.8
2023-03-19 21:53:00,139.8
2023-03-19 21:56:00,235.6
2023-03-19 21:59:00,321.6
2023-03-19 22:02:00,309.0
2023-03-19 22:05:00,281.392
2023-03-19 22:08:00,188.4
2023-03-19 22:11:00,65.733
2023-03-19 22:14:00,5.067
2023-03-19 22:17:00,5.067
