Time,tp
2023-03-19 17:50:00,2.133
2023-03-19 17:55:00,3.4
2023-03-19 18:00:00,4.4
2023-03-19 18:05:00,3.867
2023-03-19 18:10:00,1.467
2023-03-19 18:15:00,0.067
2023-03-19 18:20:00,0.933
2023-03-19 18:25:00,4.0
2023-03-19 18:30:00,2.333
2023-03-19 18:35:00,3.667
2023-03-19 18:40:00,1.067
2023-03-19 18:45:00,0.067
2023-03-19 18:50:00,0.934
2023-03-19 18:55:00,3.6
2023-03-19 19:00:00,3.867
2023-03-19 19:05:00,3.817
2023-03-19 19:10:00,1.067
2023-03-19 19:15:00,0.267
2023-03-19 19:20:00,0.8
2023-03-19 19:25:00,3.333
2023-03-19 19:30:00,4.0
2023-03-19 19:35:00,4.067
2023-03-19 19:40:00,1.0
2023-03-19 19:45:00,0.067
2023-03-19 19:50:00,0.867
2023-03-19 19:55:00,2.8
2023-03-19 20:00:00,3.8
2023-03-19 20:05:00,3.667
2023-03-19 20:10:00,1.733
2023-03-19 20:15:00,0.0
2023-03-19 20:20:00,0.8
2023-03-19 20:25:00,3.733
2023-03-19 20:30:00,4.867
2023-03-19 20:35:00,4.133
2023-03-19 20:40:00,1.333
2023-03-19 20:45:00,0.0
2023-03-19 20:50:00,2.933
2023-03-19 20:55:00,2.667
2023-03-19 21:00:00,5.133
2023-03-19 21:05:00,3.8
2023-03-19 21:10:00,1.733
2023-03-19 21:15:00,0.2
2023-03-19 21:20:00,0.4
2023-03-19 21:25:00,3.4
2023-03-19 21:30:00,5.4
2023-03-19 21:35:00,4.267
2023-03-19 21:40:00,1.733
2023-03-19 21:45:00,0.2
2023-03-19 21:50:00,1.0
2023-03-19 21:55:00,3.533
2023-03-19 22:00:00,5.334
2023-03-19 22:05:00,4.333
2023-03-19 22:10:00,1.4
2023-03-19 22:15:00,0.0
2023-03-19 22:20:00,0.267
2023-03-19 22:25:00,3.333
2023-03-19 22:30:00,4.667
2023-03-19 22:35:00,4.0
2023-03-19 22:40:00,1.8
2023-03-19 22:45:00,0.0
2023-03-19 22:50:00,0.533
2023-03-19 22:55:00,2.267
2023-03-19 23:00:00,4.8
2023-03-19 23:05:00,3.8
2023-03-19 23:10:00,1.4
2023-03-19 23:15:00,0.133
2023-03-19 23:20:00,0.533
2023-03-19 23:25:00,3.133
2023-03-19 23:30:00,5.333
2023-03-19 23:35:00,4.133
2023-03-19 23:40:00,1.533
2023-03-19 23:45:00,0.2
2023-03-19 23:50:00,0.6
2023-03-19 23:55:00,3.333
2023-03-20 00:00:00,4.467
2023-03-20 00:05:00,4.0
2023-03-20 00:10:00,1.8
2023-03-20 00:15:00,0.2
2023-03-20 00:20:00,0.2
2023-03-20 00:25:00,3.467
2023-03-20 00:30:00,5.2
2023-03-20 00:35:00,4.867
2023-03-20 00:40:00,1.667
2023-03-20 00:45:00,0.0
2023-03-20 00:50:00,0.467
2023-03-20 00:55:00,2.933
2023-03-20 01:00:00,5.0
2023-03-20 01:05:00,4.0
2023-03-20 01:10:00,1.867
2023-03-20 01:15:00,0.067
2023-03-20 01:20:00,0.467
2023-03-20 01:25:00,2.8
2023-03-20 01:30:00,5.0
2023-03-20 01:35:00,3.667
2023-03-20 01:40:00,2.2
2023-03-20 01:45:00,0.0
2023-03-20 01:50:00,0.667
2023-03-20 01:55:00,3.333
2023-03-20 02:00:00,5.2
2023-03-20 02:05:00,4.4
2023-03-20 02:10:00,1.667
2023-03-20 02:15:00,0.133
2023-03-20 02:20:00,0.467
2023-03-20 02:25:00,3.333
2023-03-20 02:30:00,5.067
2023-03-20 02:35:00,4.133
2023-03-20 02:40:00,1.467
2023-03-20 02:45:00,0.067
2023-03-20 02:50:00,0.0
2023-03-20 02:55:00,3.2
2023-03-20 03:00:00,4.8
2023-03-20 03:05:00,4.2
2023-03-20 03:10:00,2.6
2023-03-20 03:15:00,0.133
2023-03-20 03:20:00,0.133
2023-03-20 03:25:00,3.0
2023-03-20 03:30:00,4.867
2023-03-20 03:35:00,5.2
2023-03-20 03:40:00,2.533
2023-03-20 03:45:00,0.2
2023-03-20 03:50:00,0.267
2023-03-20 03:55:00,3.2
2023-03-20 04:00:00,4.467
2023-03-20 04:05:00,4.467
2023-03-20 04:10:00,2.267
2023-03-20 04:15:00,0.133
2023-03-20 04:20:00,0.267
2023-03-20 04:25:00,2.867
2023-03-20 04:30:00,5.467
2023-03-20 04:35:00,3.8
2023-03-20 04:40:00,2.267
2023-03-20 04:45:00,0.133
2023-03-20 04:50:00,0.2
2023-03-20 04:55:00,3.133
2023-03-20 05:00:00,4.467
2023-03-20 05:05:00,4.133
2023-03-20 05:10:00,2.267
2023-03-20 05:15:00,0.333
2023-03-20 05:20:00,0.333
2023-03-20 05:25:00,3.2
2023-03-20 05:30:00,4.533
2023-03-20 05:35:00,4.6
2023-03-20 05:40:00,1.933
2023-03-20 05:45:00,0.067
