Time,tp
2023-03-19 17:47:00,20.2
2023-03-19 17:52:00,179.467
2023-03-19 17:57:00,494.733
2023-03-19 18:02:00,450.8
2023-03-19 18:07:00,355.8
2023-03-19 18:12:00,73.4
2023-03-19 18:17:00,7.4
2023-03-19 18:22:00,241.333
2023-03-19 18:27:00,507.013
2023-03-19 18:32:00,487.0
2023-03-19 18:37:00,335.133
2023-03-19 18:42:00,46.6
2023-03-19 18:47:00,11.867
2023-03-19 18:52:00,187.867
2023-03-19 18:57:00,426.867
2023-03-19 19:02:00,549.267
2023-03-19 19:07:00,383.667
2023-03-19 19:12:00,48.533
2023-03-19 19:17:00,9.533
2023-03-19 19:22:00,193.8
2023-03-19 19:27:00,502.267
2023-03-19 19:32:00,559.667
2023-03-19 19:37:00,362.554
2023-03-19 19:42:00,67.2
2023-03-19 19:47:00,7.267
2023-03-19 19:52:00,145.133
2023-03-19 19:57:00,480.467
2023-03-19 20:02:00,593.0
2023-03-19 20:07:00,335.467
2023-03-19 20:12:00,119.933
2023-03-19 20:17:00,5.2
2023-03-19 20:22:00,221.2
2023-03-19 20:27:00,491.267
2023-03-19 20:32:00,560.267
2023-03-19 20:37:00,382.912
2023-03-19 20:42:00,78.333
2023-03-19 20:47:00,15.76
2023-03-19 20:52:00,170.067
2023-03-19 20:57:00,422.625
2023-03-19 21:02:00,568.533
2023-03-19 21:07:00,358.0
2023-03-19 21:12:00,90.333
2023-03-19 21:17:00,7.867
2023-03-19 21:22:00,206.2
2023-03-19 21:27:00,497.6
2023-03-19 21:32:00,585.467
2023-03-19 21:37:00,364.733
2023-03-19 21:42:00,50.4
2023-03-19 21:47:00,9.267
2023-03-19 21:52:00,181.933
2023-03-19 21:57:00,459.933
2023-03-19 22:02:00,572.2
2023-03-19 22:07:00,399.4
2023-03-19 22:12:00,77.933
2023-03-19 22:17:00,8.067
2023-03-19 22:22:00,181.4
2023-03-19 22:27:00,498.933
2023-03-19 22:32:00,581.733
2023-03-19 22:37:00,382.333
2023-03-19 22:42:00,77.4
2023-03-19 22:47:00,5.4
2023-03-19 22:52:00,176.733
2023-03-19 22:57:00,485.467
2023-03-19 23:02:00,591.333
2023-03-19 23:07:00,371.333
2023-03-19 23:12:00,126.667
2023-03-19 23:17:00,9.267
2023-03-19 23:22:00,208.867
2023-03-19 23:27:00,459.0
2023-03-19 23:32:00,576.467
2023-03-19 23:37:00,389.4
2023-03-19 23:42:00,87.067
2023-03-19 23:47:00,11.533
2023-03-19 23:52:00,145.933
2023-03-19 23:57:00,485.667
2023-03-20 00:02:00,569.933
2023-03-20 00:07:00,364.333
2023-03-20 00:12:00,95.733
2023-03-20 00:17:00,4.8
2023-03-20 00:22:00,128.533
2023-03-20 00:27:00,497.733
2023-03-20 00:32:00,592.867
2023-03-20 00:37:00,379.2
2023-03-20 00:42:00,47.0
2023-03-20 00:47:00,15.333
2023-03-20 00:52:00,87.733
2023-03-20 00:57:00,432.2
2023-03-20 01:02:00,593.467
2023-03-20 01:07:00,405.533
2023-03-20 01:12:00,94.867
2023-03-20 01:17:00,8.4
2023-03-20 01:22:00,137.333
2023-03-20 01:27:00,485.8
2023-03-20 01:32:00,580.0
2023-03-20 01:37:00,409.533
2023-03-20 01:42:00,94.733
2023-03-20 01:47:00,10.267
2023-03-20 01:52:00,177.6
2023-03-20 01:57:00,448.467
2023-03-20 02:02:00,594.267
2023-03-20 02:07:00,371.133
2023-03-20 02:12:00,130.733
2023-03-20 02:17:00,9.533
2023-03-20 02:22:00,169.933
2023-03-20 02:27:00,490.333
2023-03-20 02:32:00,582.733
2023-03-20 02:37:00,409.267
2023-03-20 02:42:00,99.067
2023-03-20 02:47:00,1.667
2023-03-20 02:52:00,135.933
2023-03-20 02:57:00,478.4
2023-03-20 03:02:00,575.133
2023-03-20 03:07:00,388.8
2023-03-20 03:12:00,133.533
2023-03-20 03:17:00,13.867
2023-03-20 03:22:00,150.8
2023-03-20 03:27:00,484.8
2023-03-20 03:32:00,599.8
2023-03-20 03:37:00,399.8
2023-03-20 03:42:00,79.467
2023-03-20 03:47:00,10.6
2023-03-20 03:52:00,101.8
2023-03-20 03:57:00,434.2
2023-03-20 04:02:00,599.572
2023-03-20 04:07:00,425.533
2023-03-20 04:12:00,101.133
2023-03-20 04:17:00,12.733
2023-03-20 04:22:00,96.267
2023-03-20 04:27:00,376.267
2023-03-20 04:32:00,586.8
2023-03-20 04:37:00,435.133
2023-03-20 04:42:00,109.467
2023-03-20 04:47:00,14.0
2023-03-20 04:52:00,110.4
2023-03-20 04:57:00,409.867
2023-03-20 05:02:00,591.0
2023-03-20 05:07:00,381.55
2023-03-20 05:12:00,148.733
2023-03-20 05:17:00,13.2
2023-03-20 05:22:00,139.4
2023-03-20 05:27:00,381.067
2023-03-20 05:32:00,583.067
2023-03-20 05:37:00,423.196
2023-03-20 05:42:00,104.867
