Time,tp
2023-04-25 17:14:00,17.067
2023-04-25 17:19:00,40.267
2023-04-25 17:24:00,48.933
2023-04-25 17:29:00,45.733
2023-04-25 17:34:00,30.727
2023-04-25 17:39:00,7.8
2023-04-25 17:44:00,18.933
2023-04-25 17:49:00,37.6
2023-04-25 17:54:00,49.8
2023-04-25 17:59:00,47.267
2023-04-25 18:04:00,31.467
2023-04-25 18:09:00,6.8
2023-04-25 18:14:00,16.8
2023-04-25 18:19:00,37.733
2023-04-25 18:24:00,52.01
2023-04-25 18:29:00,49.467
2023-04-25 18:34:00,31.61
2023-04-25 18:39:00,8.2
2023-04-25 18:44:00,17.6
2023-04-25 18:49:00,39.0
2023-04-25 18:54:00,50.6
2023-04-25 18:59:00,47.327
2023-04-25 19:04:00,32.933
2023-04-25 19:09:00,12.467
2023-04-25 19:14:00,16.333
2023-04-25 19:19:00,38.933
2023-04-25 19:24:00,49.477
2023-04-25 19:29:00,47.654
2023-04-25 19:34:00,34.133
2023-04-25 19:39:00,7.335
2023-04-25 19:44:00,19.733
2023-04-25 19:49:00,39.667
2023-04-25 19:54:00,46.6
2023-04-25 19:59:00,45.2
2023-04-25 20:04:00,30.4
2023-04-25 20:09:00,6.0
2023-04-25 20:14:00,19.857
2023-04-25 20:19:00,39.8
2023-04-25 20:24:00,50.933
2023-04-25 20:29:00,48.067
2023-04-25 20:34:00,30.133
2023-04-25 20:39:00,7.867
2023-04-25 20:44:00,20.267
2023-04-25 20:49:00,39.4
2023-04-25 20:54:00,50.99
2023-04-25 20:59:00,48.733
2023-04-25 21:04:00,29.136
2023-04-25 21:09:00,9.8
2023-04-25 21:14:00,17.8
2023-04-25 21:19:00,37.867
2023-04-25 21:24:00,50.733
2023-04-25 21:29:00,45.4
2023-04-25 21:34:00,31.6
2023-04-25 21:39:00,6.533
2023-04-25 21:44:00,17.867
2023-04-25 21:49:00,38.533
2023-04-25 21:54:00,51.474
2023-04-25 21:59:00,47.267
2023-04-25 22:04:00,32.6
2023-04-25 22:09:00,7.0
2023-04-25 22:14:00,17.267
2023-04-25 22:19:00,40.325
2023-04-25 22:24:00,47.0
2023-04-25 22:29:00,43.933
2023-04-25 22:34:00,30.4
2023-04-25 22:39:00,7.067
2023-04-25 22:44:00,20.667
2023-04-25 22:49:00,40.533
2023-04-25 22:54:00,48.133
2023-04-25 22:59:00,45.8
2023-04-25 23:04:00,30.067
2023-04-25 23:09:00,8.334
2023-04-25 23:14:00,16.733
2023-04-25 23:19:00,38.679
2023-04-25 23:24:00,48.667
2023-04-25 23:29:00,47.733
2023-04-25 23:34:00,33.733
2023-04-25 23:39:00,7.333
2023-04-25 23:44:00,18.467
2023-04-25 23:49:00,38.733
2023-04-25 23:54:00,49.333
2023-04-25 23:59:00,46.067
2023-04-26 00:04:00,28.333
2023-04-26 00:09:00,6.6
2023-04-26 00:14:00,20.533
2023-04-26 00:19:00,37.867
2023-04-26 00:24:00,48.2
2023-04-26 00:29:00,46.4
2023-04-26 00:34:00,44.533
2023-04-26 00:39:00,5.6
2023-04-26 00:44:00,20.733
2023-04-26 00:49:00,39.867
2023-04-26 00:54:00,49.667
2023-04-26 00:59:00,47.667
2023-04-26 01:04:00,30.067
2023-04-26 01:09:00,5.2
2023-04-26 01:14:00,19.6
2023-04-26 01:19:00,39.133
2023-04-26 01:24:00,48.467
2023-04-26 01:29:00,49.467
2023-04-26 01:34:00,30.8
2023-04-26 01:39:00,5.867
2023-04-26 01:44:00,19.533
2023-04-26 01:49:00,40.4
2023-04-26 01:54:00,50.27
2023-04-26 01:59:00,44.867
2023-04-26 02:04:00,44.533
2023-04-26 02:09:00,5.733
2023-04-26 02:14:00,17.4
2023-04-26 02:19:00,39.0
2023-04-26 02:24:00,49.533
2023-04-26 02:29:00,45.4
2023-04-26 02:34:00,30.267
2023-04-26 02:39:00,5.6
2023-04-26 02:44:00,20.2
2023-04-26 02:49:00,37.067
2023-04-26 02:54:00,47.867
2023-04-26 02:59:00,44.667
2023-04-26 03:04:00,32.933
2023-04-26 03:09:00,6.4
2023-04-26 03:14:00,19.533
2023-04-26 03:19:00,42.8
2023-04-26 03:24:00,48.733
2023-04-26 03:29:00,44.333
2023-04-26 03:34:00,30.0
2023-04-26 03:39:00,7.333
2023-04-26 03:44:00,18.133
2023-04-26 03:49:00,36.6
2023-04-26 03:54:00,52.067
2023-04-26 03:59:00,45.053
2023-04-26 04:04:00,28.133
2023-04-26 04:09:00,6.133
2023-04-26 04:14:00,19.337
2023-04-26 04:19:00,40.0
2023-04-26 04:24:00,48.39
2023-04-26 04:29:00,46.738
2023-04-26 04:34:00,30.536
2023-04-26 04:39:00,6.267
2023-04-26 04:44:00,19.133
2023-04-26 04:49:00,39.872
2023-04-26 04:54:00,50.803
2023-04-26 04:59:00,50.0
2023-04-26 05:04:00,30.917
2023-04-26 05:09:00,6.2
2023-04-26 05:14:00,16.733
2023-04-26 05:19:00,38.533
2023-04-26 05:24:00,50.267
2023-04-26 05:29:00,46.0
2023-04-26 05:34:00,33.067
2023-04-26 05:39:00,9.667
2023-04-26 05:44:00,15.6
