Time,tp
2023-04-25 17:14:00,18.333
2023-04-25 17:19:00,27.667
2023-04-25 17:24:00,46.467
2023-04-25 17:29:00,43.867
2023-04-25 17:34:00,32.067
2023-04-25 17:39:00,6.935
2023-04-25 17:44:00,17.533
2023-04-25 17:49:00,39.467
2023-04-25 17:54:00,48.0
2023-04-25 17:59:00,47.133
2023-04-25 18:04:00,31.867
2023-04-25 18:09:00,7.061
2023-04-25 18:14:00,16.667
2023-04-25 18:19:00,39.204
2023-04-25 18:24:00,48.867
2023-04-25 18:29:00,47.333
2023-04-25 18:34:00,31.8
2023-04-25 18:39:00,8.067
2023-04-25 18:44:00,19.133
2023-04-25 18:49:00,40.2
2023-04-25 18:54:00,50.867
2023-04-25 18:59:00,48.867
2023-04-25 19:04:00,31.133
2023-04-25 19:09:00,8.067
2023-04-25 19:14:00,17.811
2023-04-25 19:19:00,39.137
2023-04-25 19:24:00,51.728
2023-04-25 19:29:00,44.4
2023-04-25 19:34:00,31.267
2023-04-25 19:39:00,7.0
2023-04-25 19:44:00,17.2
2023-04-25 19:49:00,38.867
2023-04-25 19:54:00,45.138
2023-04-25 19:59:00,43.6
2023-04-25 20:04:00,29.533
2023-04-25 20:09:00,7.267
2023-04-25 20:14:00,19.6
2023-04-25 20:19:00,38.733
2023-04-25 20:24:00,49.797
2023-04-25 20:29:00,48.605
2023-04-25 20:34:00,31.2
2023-04-25 20:39:00,7.6
2023-04-25 20:44:00,18.467
2023-04-25 20:49:00,37.267
2023-04-25 20:54:00,46.933
2023-04-25 20:59:00,47.73
2023-04-25 21:04:00,27.933
2023-04-25 21:09:00,8.6
2023-04-25 21:14:00,17.6
2023-04-25 21:19:00,40.396
2023-04-25 21:24:00,51.4
2023-04-25 21:29:00,44.733
2023-04-25 21:34:00,30.267
2023-04-25 21:39:00,7.533
2023-04-25 21:44:00,18.667
2023-04-25 21:49:00,37.8
2023-04-25 21:54:00,49.848
2023-04-25 21:59:00,46.563
2023-04-25 22:04:00,33.667
2023-04-25 22:09:00,7.8
2023-04-25 22:14:00,17.467
2023-04-25 22:19:00,38.867
2023-04-25 22:24:00,46.722
2023-04-25 22:29:00,44.133
2023-04-25 22:34:00,30.735
2023-04-25 22:39:00,7.467
2023-04-25 22:44:00,18.867
2023-04-25 22:49:00,39.4
2023-04-25 22:54:00,51.333
2023-04-25 22:59:00,45.072
2023-04-25 23:04:00,30.6
2023-04-25 23:09:00,7.133
2023-04-25 23:14:00,17.4
2023-04-25 23:19:00,39.2
2023-04-25 23:24:00,50.933
2023-04-25 23:29:00,46.6
2023-04-25 23:34:00,32.467
2023-04-25 23:39:00,7.267
2023-04-25 23:44:00,19.133
2023-04-25 23:49:00,38.467
2023-04-25 23:54:00,47.933
2023-04-25 23:59:00,43.933
2023-04-26 00:04:00,30.533
2023-04-26 00:09:00,5.933
2023-04-26 00:14:00,19.067
2023-04-26 00:19:00,38.2
2023-04-26 00:24:00,49.029
2023-04-26 00:29:00,45.743
2023-04-26 00:34:00,32.333
2023-04-26 00:39:00,6.533
2023-04-26 00:44:00,21.067
2023-04-26 00:49:00,39.4
2023-04-26 00:54:00,49.533
2023-04-26 00:59:00,47.262
2023-04-26 01:04:00,30.0
2023-04-26 01:09:00,4.867
2023-04-26 01:14:00,20.0
2023-04-26 01:19:00,39.293
2023-04-26 01:24:00,48.067
2023-04-26 01:29:00,45.667
2023-04-26 01:34:00,30.0
2023-04-26 01:39:00,5.733
2023-04-26 01:44:00,19.067
2023-04-26 01:49:00,40.4
2023-04-26 01:54:00,48.4
2023-04-26 01:59:00,45.867
2023-04-26 02:04:00,31.533
2023-04-26 02:09:00,4.867
2023-04-26 02:14:00,17.402
2023-04-26 02:19:00,38.0
2023-04-26 02:24:00,48.4
2023-04-26 02:29:00,48.0
2023-04-26 02:34:00,29.667
2023-04-26 02:39:00,6.267
2023-04-26 02:44:00,18.733
2023-04-26 02:49:00,39.0
2023-04-26 02:54:00,46.267
2023-04-26 02:59:00,43.0
2023-04-26 03:04:00,31.533
2023-04-26 03:09:00,7.667
2023-04-26 03:14:00,17.2
2023-04-26 03:19:00,40.4
2023-04-26 03:24:00,49.333
2023-04-26 03:29:00,46.4
2023-04-26 03:34:00,29.0
2023-04-26 03:39:00,8.267
2023-04-26 03:44:00,16.403
2023-04-26 03:49:00,39.133
2023-04-26 03:54:00,50.0
2023-04-26 03:59:00,46.0
2023-04-26 04:04:00,27.667
2023-04-26 04:09:00,6.8
2023-04-26 04:14:00,19.867
2023-04-26 04:19:00,40.067
2023-04-26 04:24:00,50.467
2023-04-26 04:29:00,46.8
2023-04-26 04:34:00,28.8
2023-04-26 04:39:00,5.267
2023-04-26 04:44:00,19.6
2023-04-26 04:49:00,39.667
2023-04-26 04:54:00,48.867
2023-04-26 04:59:00,47.267
2023-04-26 05:04:00,30.333
2023-04-26 05:09:00,7.933
2023-04-26 05:14:00,15.267
2023-04-26 05:19:00,38.533
2023-04-26 05:24:00,48.741
2023-04-26 05:29:00,46.0
2023-04-26 05:34:00,33.867
2023-04-26 05:39:00,8.6
2023-04-26 05:44:00,17.267
