Time,pods
2023-05-26 12:13:00,1.0
2023-05-26 12:14:00,1.0
2023-05-26 12:15:00,1.0
2023-05-26 12:16:00,2.0
2023-05-26 12:17:00,2.0
2023-05-26 12:18:00,2.0
2023-05-26 12:19:00,2.0
2023-05-26 12:20:00,2.0
2023-05-26 12:21:00,4.0
2023-05-26 12:22:00,4.0
2023-05-26 12:23:00,4.0
2023-05-26 12:24:00,4.0
2023-05-26 12:25:00,4.0
2023-05-26 12:26:00,4.0
2023-05-26 12:27:00,4.0
2023-05-26 12:28:00,4.0
2023-05-26 12:29:00,4.0
2023-05-26 12:30:00,4.0
2023-05-26 12:31:00,4.0
2023-05-26 12:32:00,4.0
2023-05-26 12:33:00,3.0
2023-05-26 12:34:00,3.0
2023-05-26 12:35:00,3.0
2023-05-26 12:36:00,3.0
2023-05-26 12:37:00,3.0
2023-05-26 12:38:00,3.0
2023-05-26 12:39:00,3.0
2023-05-26 12:40:00,3.0
2023-05-26 12:41:00,2.0
2023-05-26 12:42:00,2.0
2023-05-26 12:43:00,2.0
2023-05-26 12:44:00,2.0
2023-05-26 12:45:00,2.0
2023-05-26 12:46:00,2.0
2023-05-26 12:47:00,2.0
2023-05-26 12:48:00,3.0
2023-05-26 12:49:00,3.0
2023-05-26 12:50:00,3.0
2023-05-26 12:51:00,3.0
2023-05-26 12:52:00,3.0
2023-05-26 12:53:00,6.0
2023-05-26 12:54:00,6.0
2023-05-26 12:55:00,6.0
2023-05-26 12:56:00,6.0
2023-05-26 12:57:00,6.0
2023-05-26 12:58:00,5.0
2023-05-26 12:59:00,5.0
2023-05-26 13:00:00,5.0
2023-05-26 13:01:00,5.0
2023-05-26 13:02:00,5.0
2023-05-26 13:03:00,5.0
2023-05-26 13:04:00,4.0
2023-05-26 13:05:00,4.0
2023-05-26 13:06:00,4.0
2023-05-26 13:07:00,4.0
2023-05-26 13:08:00,4.0
2023-05-26 13:09:00,4.0
2023-05-26 13:10:00,3.0
2023-05-26 13:11:00,3.0
2023-05-26 13:12:00,3.0
2023-05-26 13:13:00,3.0
2023-05-26 13:14:00,3.0
