Time,tp
2023-03-23 04:39:00,1.867
2023-03-23 04:40:00,1.533
2023-03-23 04:41:00,9.0
2023-03-23 04:42:00,14.4
2023-03-23 04:43:00,17.933
2023-03-23 04:44:00,22.2
2023-03-23 04:45:00,34.8
2023-03-23 04:46:00,44.933
2023-03-23 04:47:00,48.467
2023-03-23 04:48:00,58.267
2023-03-23 04:49:00,59.933
2023-03-23 04:50:00,69.467
2023-03-23 04:51:00,67.333
2023-03-23 04:52:00,65.8
2023-03-23 04:53:00,68.0
2023-03-23 04:54:00,65.133
2023-03-23 04:55:00,62.667
2023-03-23 04:56:00,57.6
2023-03-23 04:57:00,51.467
2023-03-23 04:58:00,44.867
2023-03-23 04:59:00,40.267
2023-03-23 05:00:00,30.933
2023-03-23 05:01:00,29.333
2023-03-23 05:02:00,17.2
2023-03-23 05:03:00,12.0
2023-03-23 05:04:00,7.2
2023-03-23 05:05:00,3.333
2023-03-23 05:06:00,1.733
2023-03-23 05:07:00,3.4
2023-03-23 05:08:00,1.133
2023-03-23 05:09:00,1.133
2023-03-23 05:10:00,2.2
2023-03-23 05:11:00,4.2
2023-03-23 05:12:00,11.933
2023-03-23 05:13:00,19.933
2023-03-23 05:14:00,31.333
2023-03-23 05:15:00,33.0
2023-03-23 05:16:00,41.8
2023-03-23 05:17:00,54.8
2023-03-23 05:18:00,58.667
2023-03-23 05:19:00,60.8
2023-03-23 05:20:00,61.333
2023-03-23 05:21:00,67.6
2023-03-23 05:22:00,72.0
2023-03-23 05:23:00,70.533
2023-03-23 05:24:00,67.133
2023-03-23 05:25:00,64.6
2023-03-23 05:26:00,64.0
2023-03-23 05:27:00,51.533
2023-03-23 05:28:00,46.133
2023-03-23 05:29:00,39.733
2023-03-23 05:30:00,37.733
2023-03-23 05:31:00,24.867
2023-03-23 05:32:00,16.133
2023-03-23 05:33:00,7.0
2023-03-23 05:34:00,5.333
2023-03-23 05:35:00,1.8
2023-03-23 05:36:00,1.467
2023-03-23 05:37:00,2.6
2023-03-23 05:38:00,0.8
2023-03-23 05:39:00,1.6
2023-03-23 05:40:00,6.067
2023-03-23 05:41:00,4.267
2023-03-23 05:42:00,15.267
2023-03-23 05:43:00,20.6
2023-03-23 05:44:00,24.8
2023-03-23 05:45:00,37.733
2023-03-23 05:46:00,43.2
2023-03-23 05:47:00,50.4
2023-03-23 05:48:00,51.4
2023-03-23 05:49:00,59.267
2023-03-23 05:50:00,70.533
2023-03-23 05:51:00,67.667
2023-03-23 05:52:00,65.867
2023-03-23 05:53:00,71.333
2023-03-23 05:54:00,64.4
2023-03-23 05:55:00,62.067
2023-03-23 05:56:00,61.0
2023-03-23 05:57:00,58.0
2023-03-23 05:58:00,48.4
2023-03-23 05:59:00,44.467
2023-03-23 06:00:00,35.067
2023-03-23 06:01:00,27.8
2023-03-23 06:02:00,17.867
2023-03-23 06:03:00,9.6
2023-03-23 06:04:00,4.467
2023-03-23 06:05:00,1.467
2023-03-23 06:06:00,1.467
2023-03-23 06:07:00,2.6
2023-03-23 06:08:00,0.8
2023-03-23 06:09:00,0.4
2023-03-23 06:10:00,0.067
2023-03-23 06:11:00,3.533
2023-03-23 06:12:00,10.2
2023-03-23 06:13:00,18.8
2023-03-23 06:14:00,26.267
2023-03-23 06:15:00,34.533
2023-03-23 06:16:00,39.867
2023-03-23 06:17:00,47.467
2023-03-23 06:18:00,57.6
2023-03-23 06:19:00,61.867
2023-03-23 06:20:00,67.4
2023-03-23 06:21:00,72.133
2023-03-23 06:22:00,68.2
2023-03-23 06:23:00,68.467
2023-03-23 06:24:00,68.333
2023-03-23 06:25:00,64.0
2023-03-23 06:26:00,56.4
2023-03-23 06:27:00,54.067
2023-03-23 06:28:00,49.067
