Time,tp
2023-03-22 20:18:00,2.467
2023-03-22 20:19:00,2.333
2023-03-22 20:20:00,5.0
2023-03-22 20:21:00,13.933
2023-03-22 20:22:00,11.867
2023-03-22 20:23:00,25.0
2023-03-22 20:24:00,37.733
2023-03-22 20:25:00,50.4
2023-03-22 20:26:00,57.267
2023-03-22 20:27:00,55.915
2023-03-22 20:28:00,71.743
2023-03-22 20:29:00,79.4
2023-03-22 20:30:00,81.867
2023-03-22 20:31:00,81.533
2023-03-22 20:32:00,82.667
2023-03-22 20:33:00,76.533
2023-03-22 20:34:00,78.8
2023-03-22 20:35:00,74.467
2023-03-22 20:36:00,66.6
2023-03-22 20:37:00,55.733
2023-03-22 20:38:00,51.867
2023-03-22 20:39:00,42.6
2023-03-22 20:40:00,37.667
2023-03-22 20:41:00,24.133
2023-03-22 20:42:00,16.533
2023-03-22 20:43:00,12.733
2023-03-22 20:44:00,5.2
2023-03-22 20:45:00,2.867
2023-03-22 20:46:00,3.133
2023-03-22 20:47:00,2.333
2023-03-22 20:48:00,1.267
2023-03-22 20:49:00,2.6
2023-03-22 20:50:00,3.733
2023-03-22 20:51:00,11.733
2023-03-22 20:52:00,19.333
2023-03-22 20:53:00,34.467
2023-03-22 20:54:00,38.533
2023-03-22 20:55:00,46.133
2023-03-22 20:56:00,62.0
2023-03-22 20:57:00,69.4
2023-03-22 20:58:00,72.533
2023-03-22 20:59:00,73.933
2023-03-22 21:00:00,78.533
2023-03-22 21:01:00,85.467
2023-03-22 21:02:00,86.533
2023-03-22 21:03:00,82.667
2023-03-22 21:04:00,81.0
2023-03-22 21:05:00,78.0
2023-03-22 21:06:00,67.333
2023-03-22 21:07:00,57.933
2023-03-22 21:08:00,49.6
2023-03-22 21:09:00,48.333
2023-03-22 21:10:00,36.467
2023-03-22 21:11:00,23.867
2023-03-22 21:12:00,10.667
2023-03-22 21:13:00,7.867
2023-03-22 21:14:00,2.867
2023-03-22 21:15:00,2.133
2023-03-22 21:16:00,3.0
2023-03-22 21:17:00,1.6
2023-03-22 21:18:00,0.8
2023-03-22 21:19:00,6.067
2023-03-22 21:20:00,5.933
2023-03-22 21:21:00,13.267
2023-03-22 21:22:00,22.6
2023-03-22 21:23:00,26.4
2023-03-22 21:24:00,40.333
