Time,tp
2023-03-20 14:38:00,2.133
2023-03-20 14:39:00,6.6
2023-03-20 14:40:00,15.329
2023-03-20 14:41:00,16.8
2023-03-20 14:42:00,26.2
2023-03-20 14:43:00,32.067
2023-03-20 14:44:00,52.547
2023-03-20 14:45:00,57.07
2023-03-20 14:46:00,66.74
2023-03-20 14:47:00,72.8
2023-03-20 14:48:00,83.137
2023-03-20 14:49:00,83.672
2023-03-20 14:50:00,77.667
2023-03-20 14:51:00,83.533
2023-03-20 14:52:00,79.893
2023-03-20 14:53:00,80.193
2023-03-20 14:54:00,71.6
2023-03-20 14:55:00,65.6
2023-03-20 14:56:00,56.931
2023-03-20 14:57:00,42.4
2023-03-20 14:58:00,39.933
2023-03-20 14:59:00,37.86
2023-03-20 15:00:00,25.133
2023-03-20 15:01:00,19.867
2023-03-20 15:02:00,9.933
2023-03-20 15:03:00,4.733
2023-03-20 15:04:00,2.4
2023-03-20 15:05:00,3.0
2023-03-20 15:06:00,2.0
2023-03-20 15:07:00,0.667
2023-03-20 15:08:00,2.467
2023-03-20 15:09:00,3.267
2023-03-20 15:10:00,12.067
2023-03-20 15:11:00,21.933
2023-03-20 15:12:00,36.2
2023-03-20 15:13:00,39.312
2023-03-20 15:14:00,46.6
2023-03-20 15:15:00,64.931
2023-03-20 15:16:00,70.394
2023-03-20 15:17:00,75.774
2023-03-20 15:18:00,62.936
2023-03-20 15:19:00,80.472
2023-03-20 15:20:00,87.6
2023-03-20 15:21:00,86.929
2023-03-20 15:22:00,80.52
2023-03-20 15:23:00,78.922
2023-03-20 15:24:00,79.591
2023-03-20 15:25:00,66.724
2023-03-20 15:26:00,57.6
2023-03-20 15:27:00,49.667
2023-03-20 15:28:00,48.867
2023-03-20 15:29:00,37.267
2023-03-20 15:30:00,23.133
2023-03-20 15:31:00,10.133
2023-03-20 15:32:00,7.267
2023-03-20 15:33:00,2.467
2023-03-20 15:34:00,1.8
2023-03-20 15:35:00,3.46
2023-03-20 15:36:00,0.933
2023-03-20 15:37:00,1.537
2023-03-20 15:38:00,6.533
2023-03-20 15:39:00,4.6
2023-03-20 15:40:00,15.0
2023-03-20 15:41:00,24.533
