Time,tp
2023-04-26 13:25:00,2.933
2023-04-26 13:26:00,9.8
2023-04-26 13:27:00,14.4
2023-04-26 13:28:00,20.333
2023-04-26 13:29:00,15.867
2023-04-26 13:30:00,28.241
2023-04-26 13:31:00,35.333
2023-04-26 13:32:00,33.818
2023-04-26 13:33:00,39.6
2023-04-26 13:34:00,40.88
2023-04-26 13:35:00,43.667
2023-04-26 13:36:00,45.8
2023-04-26 13:37:00,47.667
2023-04-26 13:38:00,49.933
2023-04-26 13:39:00,49.463
2023-04-26 13:40:00,51.4
2023-04-26 13:41:00,48.425
2023-04-26 13:42:00,46.167
2023-04-26 13:43:00,46.0
2023-04-26 13:44:00,45.267
2023-04-26 13:45:00,41.151
2023-04-26 13:46:00,36.675
2023-04-26 13:47:00,34.732
2023-04-26 13:48:00,27.6
2023-04-26 13:49:00,26.4
2023-04-26 13:50:00,21.328
2023-04-26 13:51:00,18.46
2023-04-26 13:52:00,15.933
2023-04-26 13:53:00,6.334
2023-04-26 13:54:00,1.733
2023-04-26 13:55:00,3.667
2023-04-26 13:56:00,8.933
2023-04-26 13:57:00,12.533
2023-04-26 13:58:00,18.333
2023-04-26 13:59:00,23.667
2023-04-26 14:00:00,25.8
2023-04-26 14:01:00,31.419
2023-04-26 14:02:00,37.733
2023-04-26 14:03:00,40.4
2023-04-26 14:04:00,43.603
2023-04-26 14:05:00,45.329
2023-04-26 14:06:00,47.252
2023-04-26 14:07:00,48.662
2023-04-26 14:08:00,49.133
2023-04-26 14:09:00,51.629
2023-04-26 14:10:00,48.402
2023-04-26 14:11:00,49.6
2023-04-26 14:12:00,44.759
2023-04-26 14:13:00,47.333
2023-04-26 14:14:00,44.52
2023-04-26 14:15:00,41.2
2023-04-26 14:16:00,37.733
2023-04-26 14:17:00,34.602
2023-04-26 14:18:00,29.999
2023-04-26 14:19:00,26.4
2023-04-26 14:20:00,18.267
2023-04-26 14:21:00,14.4
2023-04-26 14:22:00,11.599
2023-04-26 14:23:00,8.267
2023-04-26 14:24:00,1.333
2023-04-26 14:25:00,1.8
2023-04-26 14:26:00,8.6
2023-04-26 14:27:00,13.4
2023-04-26 14:28:00,19.735
2023-04-26 14:29:00,24.47
2023-04-26 14:30:00,26.267
2023-04-26 14:31:00,31.929
2023-04-26 14:32:00,36.263
2023-04-26 14:33:00,39.4
2023-04-26 14:34:00,41.467
2023-04-26 14:35:00,42.856
2023-04-26 14:36:00,44.467
2023-04-26 14:37:00,46.133
2023-04-26 14:38:00,49.733
2023-04-26 14:39:00,48.455
2023-04-26 14:40:00,47.459
2023-04-26 14:41:00,50.459
2023-04-26 14:42:00,46.607
2023-04-26 14:43:00,46.133
2023-04-26 14:44:00,46.137
2023-04-26 14:45:00,40.533
2023-04-26 14:46:00,38.327
2023-04-26 14:47:00,34.61
2023-04-26 14:48:00,31.53
2023-04-26 14:49:00,26.533
2023-04-26 14:50:00,21.331
2023-04-26 14:51:00,15.666
2023-04-26 14:52:00,15.333
2023-04-26 14:53:00,5.999
2023-04-26 14:54:00,1.8
2023-04-26 14:55:00,3.333
2023-04-26 14:56:00,9.267
2023-04-26 14:57:00,15.333
2023-04-26 14:58:00,18.268
2023-04-26 14:59:00,23.198
2023-04-26 15:00:00,27.467
2023-04-26 15:01:00,32.469
2023-04-26 15:02:00,36.133
2023-04-26 15:03:00,42.667
2023-04-26 15:04:00,42.87
2023-04-26 15:05:00,49.325
2023-04-26 15:06:00,46.471
2023-04-26 15:07:00,47.6
2023-04-26 15:08:00,49.133
2023-04-26 15:09:00,49.467
2023-04-26 15:10:00,50.522
2023-04-26 15:11:00,48.0
2023-04-26 15:12:00,46.526
2023-04-26 15:13:00,46.796
2023-04-26 15:14:00,41.853
2023-04-26 15:15:00,41.859
2023-04-26 15:16:00,37.133
2023-04-26 15:17:00,33.198
2023-04-26 15:18:00,28.067
2023-04-26 15:19:00,23.665
2023-04-26 15:20:00,20.4
2023-04-26 15:21:00,15.2
2023-04-26 15:22:00,14.0
2023-04-26 15:23:00,5.801
2023-04-26 15:24:00,2.067
2023-04-26 15:25:00,4.333
2023-04-26 15:26:00,8.133
2023-04-26 15:27:00,14.399
2023-04-26 15:28:00,19.264
2023-04-26 15:29:00,21.604
2023-04-26 15:30:00,27.19
2023-04-26 15:31:00,30.733
2023-04-26 15:32:00,36.536
2023-04-26 15:33:00,36.14
2023-04-26 15:34:00,40.6
2023-04-26 15:35:00,43.606
2023-04-26 15:36:00,46.133
2023-04-26 15:37:00,48.2
2023-04-26 15:38:00,48.61
2023-04-26 15:39:00,49.333
2023-04-26 15:40:00,51.6
2023-04-26 15:41:00,50.2
2023-04-26 15:42:00,47.933
2023-04-26 15:43:00,47.573
2023-04-26 15:44:00,44.002
2023-04-26 15:45:00,42.267
2023-04-26 15:46:00,37.6
2023-04-26 15:47:00,33.0
2023-04-26 15:48:00,30.735
2023-04-26 15:49:00,28.601
2023-04-26 15:50:00,21.266
2023-04-26 15:51:00,17.402
2023-04-26 15:52:00,11.867
2023-04-26 15:53:00,6.267
2023-04-26 15:54:00,1.333
2023-04-26 15:55:00,2.8
2023-04-26 15:56:00,9.533
2023-04-26 15:57:00,14.532
2023-04-26 15:58:00,17.597
2023-04-26 15:59:00,22.067
2023-04-26 16:00:00,29.599
2023-04-26 16:01:00,31.9
2023-04-26 16:02:00,35.467
2023-04-26 16:03:00,39.837
2023-04-26 16:04:00,43.264
2023-04-26 16:05:00,46.533
2023-04-26 16:06:00,47.314
2023-04-26 16:07:00,46.427
2023-04-26 16:08:00,47.6
2023-04-26 16:09:00,48.967
2023-04-26 16:10:00,48.64
2023-04-26 16:11:00,47.067
2023-04-26 16:12:00,48.067
2023-04-26 16:13:00,43.933
2023-04-26 16:14:00,44.067
2023-04-26 16:15:00,40.108
2023-04-26 16:16:00,37.065
2023-04-26 16:17:00,32.6
2023-04-26 16:18:00,27.669
2023-04-26 16:19:00,25.733
2023-04-26 16:20:00,21.181
2023-04-26 16:21:00,18.4
2023-04-26 16:22:00,12.6
2023-04-26 16:23:00,5.676
2023-04-26 16:24:00,2.738
2023-04-26 16:25:00,2.467
