Time,tp
2023-04-27 15:21:00,9.733
2023-04-27 15:22:00,28.594
2023-04-27 15:23:00,45.609
2023-04-27 15:24:00,58.929
2023-04-27 15:25:00,71.4
2023-04-27 15:26:00,87.667
2023-04-27 15:27:00,103.6
2023-04-27 15:28:00,103.867
2023-04-27 15:29:00,115.738
2023-04-27 15:30:00,125.6
2023-04-27 15:31:00,133.533
2023-04-27 15:32:00,138.332
2023-04-27 15:33:00,143.267
2023-04-27 15:34:00,150.667
2023-04-27 15:35:00,151.661
2023-04-27 15:36:00,152.664
2023-04-27 15:37:00,144.729
2023-04-27 15:38:00,142.129
2023-04-27 15:39:00,151.667
2023-04-27 15:40:00,134.652
2023-04-27 15:41:00,125.805
2023-04-27 15:42:00,112.161
2023-04-27 15:43:00,106.806
2023-04-27 15:44:00,88.997
2023-04-27 15:45:00,80.271
2023-04-27 15:46:00,67.931
2023-04-27 15:47:00,53.0
2023-04-27 15:48:00,33.6
2023-04-27 15:49:00,16.533
2023-04-27 15:50:00,4.667
2023-04-27 15:51:00,12.8
2023-04-27 15:52:00,30.933
2023-04-27 15:53:00,37.538
2023-04-27 15:54:00,56.467
2023-04-27 15:55:00,70.75
2023-04-27 15:56:00,83.533
2023-04-27 15:57:00,90.0
2023-04-27 15:58:00,111.841
2023-04-27 15:59:00,120.667
2023-04-27 16:00:00,132.0
2023-04-27 16:01:00,136.6
2023-04-27 16:02:00,137.925
2023-04-27 16:03:00,143.858
2023-04-27 16:04:00,148.007
2023-04-27 16:05:00,152.431
2023-04-27 16:06:00,148.939
2023-04-27 16:07:00,147.6
2023-04-27 16:08:00,141.005
2023-04-27 16:09:00,135.733
2023-04-27 16:10:00,129.867
2023-04-27 16:11:00,123.667
2023-04-27 16:12:00,114.337
2023-04-27 16:13:00,101.477
2023-04-27 16:14:00,88.396
2023-04-27 16:15:00,75.903
2023-04-27 16:16:00,55.333
2023-04-27 16:17:00,42.804
2023-04-27 16:18:00,33.8
2023-04-27 16:19:00,17.333
2023-04-27 16:20:00,3.267
2023-04-27 16:21:00,5.933
2023-04-27 16:22:00,28.878
2023-04-27 16:23:00,40.795
2023-04-27 16:24:00,59.6
2023-04-27 16:25:00,71.0
2023-04-27 16:26:00,60.2
2023-04-27 16:27:00,96.197
2023-04-27 16:28:00,106.8
2023-04-27 16:29:00,115.067
2023-04-27 16:30:00,121.996
2023-04-27 16:31:00,131.702
2023-04-27 16:32:00,135.733
2023-04-27 16:33:00,141.142
2023-04-27 16:34:00,147.405
2023-04-27 16:35:00,147.336
2023-04-27 16:36:00,140.133
2023-04-27 16:37:00,149.733
2023-04-27 16:38:00,143.933
2023-04-27 16:39:00,137.892
2023-04-27 16:40:00,127.596
2023-04-27 16:41:00,121.533
2023-04-27 16:42:00,113.067
2023-04-27 16:43:00,102.496
2023-04-27 16:44:00,91.73
2023-04-27 16:45:00,80.267
2023-04-27 16:46:00,63.867
2023-04-27 16:47:00,48.333
2023-04-27 16:48:00,37.4
2023-04-27 16:49:00,19.067
2023-04-27 16:50:00,4.333
2023-04-27 16:51:00,11.399
2023-04-27 16:52:00,29.533
2023-04-27 16:53:00,44.935
2023-04-27 16:54:00,54.143
2023-04-27 16:55:00,70.133
2023-04-27 16:56:00,83.733
2023-04-27 16:57:00,98.867
2023-04-27 16:58:00,111.667
2023-04-27 16:59:00,118.4
2023-04-27 17:00:00,129.2
2023-04-27 17:01:00,142.205
2023-04-27 17:02:00,146.8
2023-04-27 17:03:00,146.526
2023-04-27 17:04:00,148.941
2023-04-27 17:05:00,149.228
2023-04-27 17:06:00,149.859
2023-04-27 17:07:00,142.877
2023-04-27 17:08:00,139.4
2023-04-27 17:09:00,137.826
2023-04-27 17:10:00,133.2
2023-04-27 17:11:00,123.533
2023-04-27 17:12:00,113.533
2023-04-27 17:13:00,100.467
2023-04-27 17:14:00,90.473
2023-04-27 17:15:00,73.867
2023-04-27 17:16:00,64.733
2023-04-27 17:17:00,48.617
2023-04-27 17:18:00,32.932
2023-04-27 17:19:00,19.2
2023-04-27 17:20:00,5.733
2023-04-27 17:21:00,16.199
2023-04-27 17:22:00,27.667
2023-04-27 17:23:00,41.467
2023-04-27 17:24:00,56.0
2023-04-27 17:25:00,66.467
2023-04-27 17:26:00,81.78
2023-04-27 17:27:00,95.01
2023-04-27 17:28:00,110.133
2023-04-27 17:29:00,114.8
2023-04-27 17:30:00,123.4
2023-04-27 17:31:00,135.6
2023-04-27 17:32:00,143.4
2023-04-27 17:33:00,149.618
2023-04-27 17:34:00,150.4
2023-04-27 17:35:00,151.867
2023-04-27 17:36:00,148.941
2023-04-27 17:37:00,152.636
2023-04-27 17:38:00,145.267
2023-04-27 17:39:00,145.133
2023-04-27 17:40:00,132.067
2023-04-27 17:41:00,125.654
2023-04-27 17:42:00,115.809
2023-04-27 17:43:00,99.871
2023-04-27 17:44:00,87.8
2023-04-27 17:45:00,79.467
2023-04-27 17:46:00,63.6
2023-04-27 17:47:00,51.667
2023-04-27 17:48:00,28.601
2023-04-27 17:49:00,19.534
2023-04-27 17:50:00,5.333
2023-04-27 17:51:00,7.533
2023-04-27 17:52:00,24.2
2023-04-27 17:53:00,41.8
2023-04-27 17:54:00,55.133
2023-04-27 17:55:00,67.533
2023-04-27 17:56:00,88.923
2023-04-27 17:57:00,94.462
2023-04-27 17:58:00,108.867
2023-04-27 17:59:00,116.867
2023-04-27 18:00:00,127.067
2023-04-27 18:01:00,136.867
2023-04-27 18:02:00,138.927
2023-04-27 18:03:00,143.459
2023-04-27 18:04:00,144.0
2023-04-27 18:05:00,148.275
2023-04-27 18:06:00,149.68
2023-04-27 18:07:00,144.733
2023-04-27 18:08:00,138.467
2023-04-27 18:09:00,137.501
2023-04-27 18:10:00,132.933
2023-04-27 18:11:00,123.34
2023-04-27 18:12:00,113.933
2023-04-27 18:13:00,99.133
2023-04-27 18:14:00,88.536
2023-04-27 18:15:00,78.869
2023-04-27 18:16:00,64.073
2023-04-27 18:17:00,52.133
2023-04-27 18:18:00,43.267
2023-04-27 18:19:00,20.667
2023-04-27 18:20:00,10.533
2023-04-27 18:21:00,6.933
