Time,tp
2023-04-27 18:57:00,7.667
2023-04-27 18:58:00,26.133
2023-04-27 18:59:00,43.467
2023-04-27 19:00:00,60.533
2023-04-27 19:01:00,68.067
2023-04-27 19:02:00,89.8
2023-04-27 19:03:00,101.133
2023-04-27 19:04:00,104.133
2023-04-27 19:05:00,114.133
2023-04-27 19:06:00,125.267
2023-04-27 19:07:00,132.056
2023-04-27 19:08:00,134.667
2023-04-27 19:09:00,141.533
2023-04-27 19:10:00,163.951
2023-04-27 19:11:00,146.867
2023-04-27 19:12:00,150.33
2023-04-27 19:13:00,142.133
2023-04-27 19:14:00,140.343
2023-04-27 19:15:00,138.407
2023-04-27 19:16:00,137.526
2023-04-27 19:17:00,127.333
2023-04-27 19:18:00,115.8
2023-04-27 19:19:00,104.467
2023-04-27 19:20:00,89.8
2023-04-27 19:21:00,83.706
2023-04-27 19:22:00,64.8
2023-04-27 19:23:00,81.467
2023-04-27 19:24:00,36.333
2023-04-27 19:25:00,18.333
2023-04-27 19:26:00,6.0
2023-04-27 19:27:00,11.467
2023-04-27 19:28:00,22.533
2023-04-27 19:29:00,36.6
2023-04-27 19:30:00,56.881
2023-04-27 19:31:00,68.8
2023-04-27 19:32:00,80.867
2023-04-27 19:33:00,93.652
2023-04-27 19:34:00,111.467
2023-04-27 19:35:00,119.885
2023-04-27 19:36:00,134.933
2023-04-27 19:37:00,131.067
2023-04-27 19:38:00,138.618
2023-04-27 19:39:00,154.133
2023-04-27 19:40:00,143.32
2023-04-27 19:41:00,155.467
2023-04-27 19:42:00,148.125
2023-04-27 19:43:00,142.928
2023-04-27 19:44:00,145.015
2023-04-27 19:45:00,137.667
2023-04-27 19:46:00,130.733
2023-04-27 19:47:00,128.267
2023-04-27 19:48:00,107.267
2023-04-27 19:49:00,97.988
2023-04-27 19:50:00,94.067
2023-04-27 19:51:00,75.063
2023-04-27 19:52:00,60.804
2023-04-27 19:53:00,44.067
2023-04-27 19:54:00,34.0
2023-04-27 19:55:00,19.067
2023-04-27 19:56:00,4.0
2023-04-27 19:57:00,6.066
2023-04-27 19:58:00,28.733
2023-04-27 19:59:00,42.944
2023-04-27 20:00:00,56.128
2023-04-27 20:01:00,72.933
2023-04-27 20:02:00,78.533
2023-04-27 20:03:00,96.667
2023-04-27 20:04:00,107.369
2023-04-27 20:05:00,111.867
2023-04-27 20:06:00,123.867
2023-04-27 20:07:00,127.533
2023-04-27 20:08:00,149.333
2023-04-27 20:09:00,143.059
2023-04-27 20:10:00,141.856
2023-04-27 20:11:00,156.0
2023-04-27 20:12:00,144.658
2023-04-27 20:13:00,143.733
2023-04-27 20:14:00,144.346
2023-04-27 20:15:00,140.605
2023-04-27 20:16:00,126.552
2023-04-27 20:17:00,125.333
2023-04-27 20:18:00,108.8
2023-04-27 20:19:00,93.992
2023-04-27 20:20:00,92.68
2023-04-27 20:21:00,76.667
2023-04-27 20:22:00,62.667
2023-04-27 20:23:00,52.0
2023-04-27 20:24:00,36.333
2023-04-27 20:25:00,20.667
2023-04-27 20:26:00,4.534
2023-04-27 20:27:00,10.2
2023-04-27 20:28:00,29.933
2023-04-27 20:29:00,43.333
2023-04-27 20:30:00,55.667
2023-04-27 20:31:00,69.933
2023-04-27 20:32:00,79.591
2023-04-27 20:33:00,98.949
2023-04-27 20:34:00,110.2
2023-04-27 20:35:00,119.593
2023-04-27 20:36:00,125.667
2023-04-27 20:37:00,140.2
2023-04-27 20:38:00,150.267
2023-04-27 20:39:00,144.0
2023-04-27 20:40:00,149.2
2023-04-27 20:41:00,151.867
2023-04-27 20:42:00,143.667
2023-04-27 20:43:00,145.8
2023-04-27 20:44:00,143.6
2023-04-27 20:45:00,133.867
2023-04-27 20:46:00,134.933
2023-04-27 20:47:00,124.2
2023-04-27 20:48:00,111.067
2023-04-27 20:49:00,105.2
2023-04-27 20:50:00,90.867
2023-04-27 20:51:00,76.0
2023-04-27 20:52:00,66.6
2023-04-27 20:53:00,47.933
2023-04-27 20:54:00,32.933
2023-04-27 20:55:00,20.933
2023-04-27 20:56:00,6.8
2023-04-27 20:57:00,12.799
2023-04-27 20:58:00,25.733
2023-04-27 20:59:00,40.6
2023-04-27 21:00:00,57.407
2023-04-27 21:01:00,64.537
2023-04-27 21:02:00,80.528
2023-04-27 21:03:00,94.885
2023-04-27 21:04:00,107.0
2023-04-27 21:05:00,114.933
2023-04-27 21:06:00,125.933
2023-04-27 21:07:00,130.533
2023-04-27 21:08:00,152.609
2023-04-27 21:09:00,145.333
2023-04-27 21:10:00,142.123
2023-04-27 21:11:00,155.333
2023-04-27 21:12:00,143.133
2023-04-27 21:13:00,161.32
2023-04-27 21:14:00,141.733
2023-04-27 21:15:00,142.733
2023-04-27 21:16:00,137.294
2023-04-27 21:17:00,116.933
2023-04-27 21:18:00,127.267
2023-04-27 21:19:00,98.698
2023-04-27 21:20:00,96.467
2023-04-27 21:21:00,71.8
2023-04-27 21:22:00,63.4
2023-04-27 21:23:00,52.342
2023-04-27 21:24:00,29.8
2023-04-27 21:25:00,20.666
2023-04-27 21:26:00,6.8
2023-04-27 21:27:00,6.333
2023-04-27 21:28:00,21.067
2023-04-27 21:29:00,42.065
2023-04-27 21:30:00,53.667
2023-04-27 21:31:00,68.807
2023-04-27 21:32:00,86.533
2023-04-27 21:33:00,98.133
2023-04-27 21:34:00,108.933
2023-04-27 21:35:00,118.711
2023-04-27 21:36:00,125.133
2023-04-27 21:37:00,134.933
2023-04-27 21:38:00,142.333
2023-04-27 21:39:00,151.0
2023-04-27 21:40:00,139.472
2023-04-27 21:41:00,158.594
2023-04-27 21:42:00,139.171
2023-04-27 21:43:00,147.667
2023-04-27 21:44:00,140.267
2023-04-27 21:45:00,137.733
2023-04-27 21:46:00,131.333
2023-04-27 21:47:00,130.133
2023-04-27 21:48:00,123.2
2023-04-27 21:49:00,99.247
2023-04-27 21:50:00,84.8
2023-04-27 21:51:00,73.867
2023-04-27 21:52:00,61.4
2023-04-27 21:53:00,52.333
2023-04-27 21:54:00,42.0
2023-04-27 21:55:00,22.467
2023-04-27 21:56:00,10.533
2023-04-27 21:57:00,7.133
